Image,Category,Item,Price
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup3_kxxwfy.jpg",Tables,Pearl Galaxy,"$2,100"
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup1_ff4smb.jpg",Shelves,Pastel Love,"$4,500"
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup2_dnfs2c.jpg",Tables,Classic,"$3,100"
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup3_kxxwfy.jpg",Tables,Pearl Galaxy,"$2,101"
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup1_ff4smb.jpg",Shelves,Pastel Love,"$4,501"
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup2_dnfs2c.jpg",Tables,Classic,"$3,101"
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup3_kxxwfy.jpg",Tables,Pearl Galaxy,"$2,102"
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup1_ff4smb.jpg",Shelves,Pastel Love,"$4,502"
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup2_dnfs2c.jpg",Tables,Classic,"$3,102"
"http://res.cloudinary.com/dnhwxgf8i/image/upload/c_scale,h_250,w_400/v1488011915/mockup3_kxxwfy.jpg",Tables,Pearl Galaxy,"$2,103"
